id,text,category,service_display,secondary_service,example_sector,language,difficulty,ambiguous
CG-001,Je ne sais pas par où commencer pour développer la présence digitale de mon entreprise.,digital_strategy,Stratégie digitale,seo,Services professionnels,fr,intermédiaire,non
CG-002,Nous avons plusieurs idées marketing mais aucune feuille de route claire.,digital_strategy,Stratégie digitale,seo,Commerce,fr,intermédiaire,oui
CG-003,Je souhaite définir une stratégie digitale complète pour les douze prochains mois.,digital_strategy,Stratégie digitale,seo,Tourisme,fr,intermédiaire,non
CG-004,"Mon entreprise a un site et des réseaux sociaux, mais les actions ne sont pas coordonnées.",digital_strategy,Stratégie digitale,seo,Immobilier,fr,intermédiaire,oui
CG-005,J’ai besoin d’un audit global de notre présence en ligne et de recommandations prioritaires.,digital_strategy,Stratégie digitale,seo,Santé,fr,intermédiaire,oui
CG-006,Nous voulons clarifier notre positionnement digital face à nos concurrents.,digital_strategy,Stratégie digitale,seo,Formation,fr,simple,non
CG-007,"Je cherche un plan d’action avec des objectifs, des indicateurs et un budget réaliste.",digital_strategy,Stratégie digitale,seo,Automobile,fr,intermédiaire,oui
CG-008,Notre startup veut identifier les canaux les plus rentables pour acquérir des clients.,digital_strategy,Stratégie digitale,seo,Agriculture,fr,intermédiaire,non
CG-009,Nous lançons une nouvelle marque et avons besoin d’une stratégie de croissance numérique.,digital_strategy,Stratégie digitale,seo,Restauration,fr,intermédiaire,oui
CG-010,Je veux comprendre pourquoi nos actions digitales ne génèrent pas assez de résultats.,digital_strategy,Stratégie digitale,seo,Technologie,fr,intermédiaire,non
CG-011,"Nous souhaitons structurer notre marketing, notre site et nos campagnes autour d’une vision commune.",digital_strategy,Stratégie digitale,seo,Association,fr,intermédiaire,oui
CG-012,J’ai besoin d’un diagnostic de notre écosystème digital avant d’investir davantage.,digital_strategy,Stratégie digitale,seo,Industrie,fr,intermédiaire,non
CG-013,Notre direction demande une roadmap digitale avec des priorités mesurables.,digital_strategy,Stratégie digitale,seo,Beauté & bien-être,fr,simple,non
CG-014,"Je souhaite améliorer la cohérence entre notre communication, nos ventes et notre présence web.",digital_strategy,Stratégie digitale,seo,Finance,fr,intermédiaire,oui
CG-015,Nous avons besoin d’un accompagnement stratégique pour accélérer notre transformation digitale.,digital_strategy,Stratégie digitale,seo,Artisanat,fr,intermédiaire,non
CG-016,Je veux développer la présence de mon entreprise sur Instagram et Facebook.,social_media,Gestion des réseaux sociaux,content_marketing,Services professionnels,fr,intermédiaire,oui
CG-017,Nos réseaux sociaux sont inactifs et nous avons besoin d’un calendrier de publication.,social_media,Gestion des réseaux sociaux,content_marketing,Commerce,fr,intermédiaire,oui
CG-018,Je cherche une équipe pour créer des Reels et gérer notre communauté.,social_media,Gestion des réseaux sociaux,content_marketing,Tourisme,fr,intermédiaire,oui
CG-019,Nous voulons augmenter l’engagement et le nombre d’abonnés sur nos pages.,social_media,Gestion des réseaux sociaux,content_marketing,Immobilier,fr,intermédiaire,oui
