text,category,complementary_services
"Je veux un site pour présenter mon entreprise de plomberie.","Site vitrine","SEO, UI/UX"
"Besoin d'une page web pour mon cabinet de conseil.","Site vitrine","Identité visuelle"
"Montrer mes services en ligne.","Site vitrine","SEO"
"Je cherche à créer une vitrine digitale pour mon activité artisanale.","Site vitrine","Marketing digital"
"Un site internet professionnel pour ma société de nettoyage.","Site vitrine","UI/UX"
"Je souhaite avoir une présence en ligne avec mes coordonnées et horaires.","Site vitrine","SEO"
"Présenter mon équipe et mes réalisations sur le web.","Site vitrine","Identité visuelle"
"Créer une page d'accueil pour donner confiance à mes futurs clients.","Site vitrine","UI/UX"
"Je veux vendre mes produits sur Internet avec un panier.","Site e-commerce","SEO, Marketing digital"
"Besoin d'une boutique en ligne pour ma marque de vêtements.","Site e-commerce","Identité visuelle"
"Créer un site de vente avec paiement sécurisé.","Site e-commerce","SEO"
"Je souhaite commercialiser mes cosmétiques via un site marchand.","Site e-commerce","Marketing digital"
"Mettre en place un catalogue produit et un système de commande.","Site e-commerce","UI/UX"
"Vendre en ligne mes accessoires de sport.","Site e-commerce","SEO"
"Je cherche une plateforme e-commerce pour gérer mes livraisons.","Site e-commerce","Automatisation"
"Site de vente avec plusieurs moyens de paiement.","Site e-commerce","Marketing digital"
"Je veux une page pour lancer mon nouveau produit.","Landing page","Marketing digital, UI/UX"
"Besoin d'une page pour capturer des emails.","Landing page","SEO"
"Promouvoir mon offre de formation via une page dédiée.","Landing page","Marketing digital"
"Créer une page d'inscription pour mon webinaire gratuit.","Landing page","UI/UX"
"Je souhaite générer des leads pour mon service B2B.","Landing page","Marketing digital"
"Une page de vente pour mon ebook en téléchargement.","Landing page","SEO"
"Capture de prospects pour une offre limitée dans le temps.","Landing page","UI/UX"
"Mettre en place une page de conversion pour ma campagne Facebook.","Landing page","Marketing digital"
"Je veux un outil pour gérer mes clients et factures.","Application web","UI/UX, Automatisation"
"Besoin d'une application de suivi de projet interne.","Application web","Automatisation"
"Digitaliser ma gestion de stock et inventaire.","Application web","UI/UX"
"Créer un logiciel en ligne pour la gestion de mes ressources humaines.","Application web","Solution IA"
"Une plateforme interne pour automatiser mon workflow.","Application web","Automatisation"
"Je souhaite un outil métier pour mes commerciaux.","Application web","UI/UX"
"Application personnalisée pour le suivi de mes contrats.","Application web","Automatisation"
"Construire un back-office pour administrer mon contenu.","Application web","UI/UX"
"Je veux un système de réservation pour mon salon de coiffure.","Système de réservation","UI/UX, Site vitrine"
"Besoin d'un outil pour gérer les rendez-vous chez mon médecin.","Système de réservation","UI/UX"
"Mes clients doivent pouvoir réserver une table en ligne.","Système de réservation","Site vitrine"
"Créer un calendrier de disponibilités pour mes consultants.","Système de réservation","UI/UX"
"Gestion des réservations et planning pour mon hôtel.","Système de réservation","Site vitrine"
"Les patients doivent prendre rendez-vous via mon site.","Système de réservation","UI/UX"
"Je souhaite automatiser la prise de rendez-vous sur Internet.","Système de réservation","Automatisation"
"Un système de réservation pour mes cours de yoga.","Système de réservation","Marketing digital"
"Je veux améliorer le design et l'ergonomie de mon site.","UI/UX et identité visuelle","Site vitrine"
"Besoin d'une identité visuelle complète pour ma marque.","UI/UX et identité visuelle","Marketing digital"
"Créer un logo et une charte graphique professionnelle.","UI/UX et identité visuelle","Site vitrine"
"Je souhaite une refonte totale de mon interface utilisateur.","UI/UX et identité visuelle","Application web"
